1729665455604|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729665455606|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729665455608|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729665455609|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729665455619|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729665455621|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729665455625|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729665455627|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729665455630|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729666107076|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729666107078|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729666107080|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729666107081|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729666107088|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729666107089|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729666107093|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729666107094|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729666107097|2|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729666260094|2|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729666260096|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729666260097|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729666260098|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729666260104|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729666260104|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729666260108|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729666260110|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729666260112|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729666273470|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729666273472|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729666273473|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729666273474|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729666273480|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729666273481|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
